OFFICIAL POS.,RACE NUMBER,NAME,OFFICIAL TIME,REAL TIME,REAL AVERAGE,CATEGORY
1,14,"KIPTUM, KELVIN",2:01:53,2:01:53,"2,53",M-SENIOR
2,8,"GEAY, GABRIEL",2:03:00,2:02:59,"2,55",M-SENIOR
3,12,"MUTISO, ALEXANDER",2:03:29,2:03:29,"2,56",M-SENIOR
4,1,"TOLA, TAMIRAT",2:03:40,2:03:40,"2,56",M-SENIOR
5,3,"ÖZBILEN, KAAN KIGEN",2:04:36,2:04:36,"2,57",M-M35
6,7,"DESO, CHALU",2:04:56,2:04:56,"2,58",M-SENIOR
7,15,"MENGESHA, MILKESA",2:05:29,2:05:28,"2,58",M-SENIOR
8,20,"KORIR, RONALD",2:05:37,2:05:37,"2,59",M-SENIOR
9,13,"KIPLIMO, PHILEMON",2:05:44,2:05:42,"2,59",M-SENIOR
10,16,"KIFLE, GOITOM",2:06:09,2:06:08,"2,59",M-SENIOR
11,2,"MOLLA, GETANEH",2:06:38,2:06:38,"3,00",M-SENIOR
12,22,"MPOFU, ISAAC",2:06:48,2:06:47,"3,00",M-SENIOR
13,23,"NAVARRO, NICOLAS",2:07:01,2:07:01,"3,01",M-SENIOR
14,118,"MEZNGI, ZEREI",2:07:10,2:07:09,"3,01",M-SENIOR
15,6,"TEWELDE, HISKEL",2:07:11,2:07:11,"3,01",M-SENIOR
16,107,"NOVALES, TARIKU",2:07:18,2:07:18,"3,01",M-SENIOR
17,10,"LAMDASSEM, AYAD",2:07:39,2:07:39,"3,02",M-M40
18,21,"KIPKEMBOI RUTO, BETHWEL",2:07:40,2:07:39,"3,02",M-SENIOR
19,24,"MERZOUGUI, ABDELAZIZ",2:08:00,2:08:00,"3,02",M-SENIOR
20,17,"TESFAYE, LENCHO",2:08:14,2:08:13,"3,02",M-SENIOR
21,5,"KORIR, JONATHAN",2:08:34,2:08:34,"3,03",M-SENIOR
22,43,"ABDELILAH, EL MAIMOUNI",2:08:50,2:08:49,"3,03",M-SENIOR
23,25,"FRÈRE, MEHDI",2:09:18,2:09:17,"3,04",M-SENIOR
24,11,"KIRUI, GEOFFREY",2:09:57,2:09:56,"3,05",M-SENIOR
25,125,"WITZ, VALENTIN",2:10:04,2:10:04,"3,05",M-SENIOR
26,29,"PAULA, PAULO",2:10:20,2:10:18,"3,05",M-SENIOR
27,195,"RUSSOM, SAMUEL",2:10:38,2:10:38,"3,06",M-SENIOR
28,119,"BOUR, FELIX",2:10:43,2:10:43,"3,06",M-SENIOR
29,38,"JIMENEZ VICENTE, ALEJANDRO",2:10:54,2:10:52,"3,06",M-M35
30,19,"GUERRA, JAVIER",2:12:00,2:12:00,"3,08",M-M35
31,199,"NZIKWINKUNDA, ONESPHORE",2:12:12,2:12:11,"3,08",M-SENIOR
32,46,"OMAR, OMAR",2:12:29,2:12:29,"3,08",M-SENIOR
33,40,"DONOFRIO, DANIELLE",2:12:47,2:12:47,"3,09",M-SENIOR
34,47,"ROSDAHL, LINUS",2:12:48,2:12:46,"3,09",M-SENIOR
35,45,"HAWKINS, DEREK",2:13:14,2:13:12,"3,09",M-SENIOR
36,84,"NICOLAE ALEXANDRU, SOARE",2:13:29,2:13:29,"3,10",M-SENIOR
37,57,"PIERRE, DENAYS",2:13:34,2:13:32,"3,10",M-SENIOR
38,942,"MAHIEU, JUSTIN",2:13:36,2:13:34,"3,10",M-M35
39,64,"LOPES, NUNO",2:13:41,2:13:40,"3,10",M-M35
40,58,"JEFF, LASTENNET",2:13:46,2:13:44,"3,10",M-M35
41,49,"BAEGAARD, RUNE",2:13:57,2:13:56,"3,10",M-SENIOR
42,132,"CRAIG, ADAM",2:13:58,2:13:54,"3,10",M-SENIOR
43,128,"SIMONSEN, JACOB",2:14:15,2:14:13,"3,11",M-SENIOR
44,1246,"ALEXANDRE, BOURGEOIS",2:14:48,2:14:47,"3,12",M-SENIOR
45,68,"SOUZA DO NASCIMENTO, SAMUEL",2:14:51,2:14:50,"3,12",M-SENIOR
46,206,"BERISO SHANKULE, AMANE",2:14:58,2:14:58,"3,12",F-SENIOR
47,103,"MORISSEAU, BRICE",2:15:05,2:15:02,"3,12",M-SENIOR
48,65,"ALTAMIMI, EBRAHIM MOHAMED",2:15:23,2:15:21,"3,13",M-SENIOR
49,62,"LACHGAR LATRACHE, CHAKIB",2:16:09,2:16:09,"3,14",M-SENIOR
50,55,"FREDDY, GUIMARD",2:16:25,2:16:24,"3,14",M-M35
51,69,"BAUM, LORENZ",2:16:32,2:16:31,"3,14",M-SENIOR
52,126,"TURPIN, ALEXIS",2:16:40,2:16:38,"3,14",M-SENIOR
53,201,"GIDEY, LETESENBET",2:16:49,2:16:49,"3,15",F-SENIOR
54,70,"APPACHANGADA BOPAIAH, BELLIAPPA",2:16:51,2:16:50,"3,15",M-SENIOR
55,138,"OLMOS, JESÚS",2:16:57,2:16:55,"3,15",M-M35
56,146,"MUTAI, MICHAEL",2:16:57,2:16:57,"3,15",M-SENIOR
57,280,"SOI, BERNARD",2:16:58,2:16:58,"3,15",M-SENIOR
58,139,"TOUCAS, ADRIEN",2:16:59,2:16:58,"3,15",M-SENIOR
59,108,"ROULLEAU, LÉO",2:17:01,2:16:59,"3,15",M-SENIOR
60,136,"DE LEON, FRANCISCO JAVIER",2:17:12,2:17:12,"3,15",M-SENIOR
61,134,"SZEMEREI, LEVENTE",2:17:16,2:17:15,"3,15",M-UNDER23
62,102,"BRICE, DAUBORD",2:17:19,2:17:18,"3,15",M-M35
63,215,"CHEPKIRUI, SHEILA",2:17:29,2:17:29,"3,15",F-SENIOR
64,801,"BÖHL, TIMO",2:17:35,2:17:15,"3,16",M-SENIOR
65,212,"TESHOME, TADU",2:17:36,2:17:36,"3,16",F-SENIOR
66,77,"MILNE, ALEX",2:17:42,2:17:40,"3,16",M-SENIOR
67,83,"VAZ CALDEIRA, JOHAN",2:17:53,2:17:51,"3,16",M-SENIOR
68,403,"ROSE, LOUIS",2:17:55,2:17:51,"3,16",M-UNDER23
69,21800,"ANGLADA, CLÉMENT",2:18:00,2:17:58,"3,16",M-SENIOR
70,216,"CHEMUTAI, FANCY",2:18:11,2:18:11,"3,16",F-SENIOR
71,92,"MAXIME, LOPES",2:18:23,2:18:21,"3,17",M-SENIOR
72,141,"GUIGON, FAUSTIN",2:18:40,2:18:39,"3,17",M-SENIOR
73,897,"GAZAPO BRAVO, CARLOS",2:18:46,2:18:39,"3,17",M-M35
74,270,"MESFIN, TIRUYE",2:18:47,2:18:47,"3,17",F-SENIOR
75,705,"DE ANTONIO COT, GERARD",2:18:50,2:18:47,"3,17",M-SENIOR
76,171,"CRESPO ROMERA, RUBEN",2:18:51,2:18:49,"3,17",M-SENIOR
77,140,"JARD, BAPTISTE",2:18:51,2:18:49,"3,17",M-SENIOR
78,204,"GIRMA, TIGIST",2:18:52,2:18:52,"3,17",F-SENIOR
79,111,"RICARDO, ANTHONY",2:18:56,2:18:54,"3,18",M-SENIOR
80,663,"BIRAUD, GRÉGORY",2:18:56,2:18:53,"3,18",M-SENIOR
81,60,"LÅÅS, KRISTOFER",2:19:04,2:19:02,"3,18",M-SENIOR
82,133,"LEDUC, CLEMENT",2:19:07,2:19:04,"3,18",M-SENIOR
83,474,"BENITO GARCIA, PABLO",2:19:09,2:19:07,"3,18",M-SENIOR
84,61,"SHREEVE, NORMAN",2:19:10,2:19:07,"3,18",M-M35
85,658,"GOMEZ SARRIA, JOSEP",2:19:16,2:19:14,"3,18",M-SENIOR
86,175,"AHOUCHAR, HASSANE",2:19:27,2:19:27,"3,18",M-M45
87,59,"PALOMEQUE BARRERA, RUBÉN",2:19:31,2:19:28,"3,18",M-M40
88,866,"MONTLLOR, CARLES",2:19:57,2:19:53,"3,19",M-M35
89,114,"DALMASSO, NICOLAS",2:20:03,2:20:00,"3,19",M-SENIOR
90,205,"WOLDU, ETAGEGNE",2:20:03,2:20:03,"3,19",F-SENIOR
91,86,"RUBIO, GILLES",2:20:14,2:20:14,"3,19",M-M40
92,94,"THRELFALL, BRADY",2:20:26,2:20:25,"3,20",M-SENIOR
93,100,"DIAZ LOPEZ, JOSEBA",2:20:27,2:20:25,"3,20",M-SENIOR
94,123,"MORENO, FERNANDO",2:20:33,2:20:32,"3,20",M-SENIOR
95,72,"WIJMENGA, ROEL",2:20:33,2:20:32,"3,20",M-SENIOR
96,502,"MUSSON, DOUGLAS",2:20:34,2:20:27,"3,20",M-SENIOR
97,269,"TESFU, DOLSHI",2:20:40,2:20:40,"3,20",F-SENIOR
98,28867,"BOUCHE, MICHAEL",2:20:46,2:20:35,"3,20",M-SENIOR
99,50,"OLESEN, MARTIN",2:20:51,2:20:48,"3,20",M-SENIOR
100,82,"O DONOGHUE, TIM",2:20:52,2:20:50,"3,20",M-M35
101,105,"GARCÍA GEN, JUAN RAMON",2:20:52,2:20:50,"3,20",M-M40
102,695,"GRANBERG, HANNU",2:20:57,2:20:52,"3,20",M-SENIOR
103,957,"CORNTHWAITE, THOMAS",2:20:58,2:20:49,"3,20",M-M35
104,213,"MAAYOUF, MAJIDA",2:21:01,2:21:01,"3,21",F-SENIOR
105,481,"VILLECHENAUD, ANTOINE",2:21:03,2:20:51,"3,21",M-SENIOR
106,1372,"PRIETO FERVENZA, ALVARO",2:21:11,2:21:08,"3,21",M-M40
107,15772,"GEBRIE, AYEHU",2:21:16,2:21:12,"3,21",M-SENIOR
108,98,"ALVAREZ MIGUEL, RUBEN",2:21:20,2:21:18,"3,21",M-M35
109,462,"BOURGEOIS, MATTHIEU",2:21:21,2:21:19,"3,21",M-SENIOR
110,1151,"PALOMO DEL ROSARIO, DAVID",2:21:24,2:21:20,"3,21",M-M35
111,857,"TILLEY, JAMES",2:21:25,2:21:08,"3,21",M-M35
112,587,"DULIN, ALEXIS",2:21:26,2:21:10,"3,21",M-SENIOR
113,311,"CAMERON, EWAN",2:21:32,2:21:30,"3,21",M-M40
114,209,"ESHETU, BIRUKTAYIT DEGEFA",2:21:34,2:21:34,"3,21",F-SENIOR
115,214,"DIVER, SINEAD",2:21:34,2:21:34,"3,21",F-SENIOR
116,667,"VAZQUEZ VEGA, LUIS FERNANDO",2:21:41,2:21:38,"3,21",M-SENIOR
117,1250,"GANDARA RUIZ, RAUL",2:21:42,2:21:39,"3,21",M-M40
118,879,"GONZALEZ RIO, SIMON",2:21:42,2:21:37,"3,21",M-M35
119,85,"FERRER MURO, MIGUEL",2:21:50,2:21:47,"3,22",M-M40
120,116,"TOMASA SERRANO, XAVI",2:21:50,2:21:46,"3,22",M-M35
121,113,"DELEU, THOMAS",2:21:52,2:21:51,"3,22",M-SENIOR
122,190,"VIDAL RIBERO, JUAN",2:21:58,2:21:56,"3,22",M-M40
123,895,"MORA CHAVARRIA, HIBERT",2:22:05,2:22:00,"3,22",M-M35
124,187,"POLO VICENTE, DIEGO",2:22:06,2:22:05,"3,22",M-SENIOR
125,1389,"RICATTI, DOMENICO",2:22:07,2:21:56,"3,22",M-M40
126,135,"GALLEGO RODRIGUEZ, CARLOS",2:22:10,2:22:08,"3,22",M-SENIOR
127,144,"PHILIPONA, NICOLAS",2:22:19,2:22:16,"3,22",M-SENIOR
128,1310,"ROBLES COLLADO, IVAN",2:22:22,2:22:18,"3,22",M-M40
129,29006,"FRANZESE, SALVATORE",2:22:29,2:22:26,"3,23",M-SENIOR
130,824,"GARCIA GARCIA-PAZ, PABLO MIGUEL",2:22:36,2:22:33,"3,23",M-M35
131,110,"PASTO LLOBERA, RICARD",2:22:43,2:22:40,"3,23",M-M35
132,563,"PIERRE, DEFONTAINE",2:22:55,2:22:54,"3,23",M-SENIOR
133,97,"MARTIN MERINO, FRANCISCO JAVIER",2:22:58,2:22:58,"3,23",M-M40
134,677,"LOUIS-MARIE, KERRAND",2:23:02,2:22:51,"3,23",M-SENIOR
135,780,"BLAIKLOCK, JACK",2:23:07,2:22:54,"3,24",M-SENIOR
136,1245,"PIPER, PAUL",2:23:14,2:23:10,"3,24",M-M40
137,73,"KOPEC, WOJCIECH",2:23:15,2:23:13,"3,24",M-M35
138,1346,"WALSH, MARK",2:23:15,2:23:08,"3,24",M-M40
139,960,"CLAIS, FRANÇOIS",2:23:16,2:23:09,"3,24",M-M35
140,2824,"HÅKANSSON, SEBASTIAN CONRAD",2:23:18,2:23:11,"3,24",M-SENIOR
141,410,"LOTIGIE, MAXIME",2:23:25,2:23:19,"3,24",M-SENIOR
142,518,"DROUAULT, THOMAS",2:23:26,2:23:21,"3,24",M-SENIOR
143,637,"DIAZ CARRETERO, JOSEP",2:23:28,2:23:24,"3,24",M-SENIOR
144,700,"GONZALEZ MORENO, JUAN LUIS",2:23:31,2:23:28,"3,24",M-SENIOR
145,483,"BURGUETE, LEOPOLDO",2:23:37,2:23:22,"3,24",M-SENIOR
146,1149,"ANÉ, JEAN-PIERRE",2:23:37,2:23:33,"3,24",M-M35
147,210,"GEBRE, MESERET",2:23:38,2:23:38,"3,24",F-SENIOR
148,127,"DE FREITAS, JEFFREY",2:23:39,2:23:37,"3,24",M-SENIOR
149,219,"BJELJAC, BOJANA",2:23:39,2:23:39,"3,24",F-SENIOR
150,823,"BLAKE, STEPHEN",2:23:40,2:23:34,"3,24",M-M35
151,846,"DE BART, SANDER",2:23:41,2:23:38,"3,24",M-M35
152,112,"VILLY, RONALD",2:23:44,2:23:42,"3,24",M-SENIOR
153,1298,"GOMEZ DE ARRIBA, JOSE ANTONIO",2:23:46,2:23:44,"3,24",M-M40
154,796,"DELANEY, CARL",2:23:48,2:23:39,"3,24",M-SENIOR
155,525,"ARANGO VÉLEZ, JUAN ESTEBAN",2:23:48,2:23:47,"3,25",M-SENIOR
156,401,"ORTU, FEDERICO",2:23:50,2:23:45,"3,25",M-UNDER23
157,432,"KEVIN, GUERIN",2:23:53,2:23:47,"3,25",M-SENIOR
158,217,"EPIS, GIOVANNA",2:23:54,2:23:54,"3,25",F-SENIOR
159,930,"SEDDON, DALE",2:24:00,2:23:46,"3,25",M-M35
160,104,"SELMAN, DOUGIE",2:24:05,2:24:05,"3,25",M-SENIOR
161,1451,"FERNANDEZ BENITO, JAVIER",2:24:08,2:24:05,"3,25",M-M40
162,142,"MAX, NZAOU",2:24:11,2:24:09,"3,25",M-SENIOR
163,1012,"SAUVAGET, JEREMY",2:24:12,2:24:07,"3,25",M-SENIOR
164,1570,"EL HIMER, DRISS",2:24:12,2:24:10,"3,25",M-M45
165,687,"PAUL, RENAUDIE",2:24:16,2:24:08,"3,25",M-SENIOR
166,791,"HILLER, CHRISTIAN",2:24:17,2:23:59,"3,25",M-SENIOR
167,285,"KIPTOO CHESEREK, JEREMIAH",2:24:18,2:24:18,"3,25",M-SENIOR
168,1260,"SAMSON, WILLIAM",2:24:19,2:24:11,"3,25",M-M40
169,196,"ERSTAD, MAGNUS",2:24:25,2:24:22,"3,25",M-SENIOR
170,724,"LAUSTE, HARRY",2:24:27,2:24:16,"3,25",M-SENIOR
171,1014,"REES, MATTHEW",2:24:28,2:24:19,"3,25",M-M35
172,145,"SERRANO GARCIA DE DIONISIO, FRANCISCO",2:24:32,2:24:29,"3,26",M-SENIOR
173,1574,"MARTÍNEZ RODRÍGUEZ, ANGEL",2:24:34,2:24:29,"3,26",M-M45
174,568,"JEAN-RENÉ, CARON",2:24:36,2:24:23,"3,26",M-SENIOR
175,176,"SIERES GOMEZ, AGUSTIN",2:24:44,2:24:40,"3,26",M-M40
176,684,"NECULA, ROBERT-GEORGIAN",2:24:46,2:24:32,"3,26",M-SENIOR
177,908,"VINCENT, RENAUD",2:24:50,2:24:45,"3,26",M-M35
178,922,"PÉREZ SERRANO, DAVID",2:24:55,2:24:49,"3,26",M-M35
179,1263,"GRENETIER, BENJAMIN",2:24:59,2:24:47,"3,26",M-M40
180,1356,"DE MATA LOMBO, JAVIER",2:25:05,2:24:59,"3,26",M-M40
181,967,"STOKES, ADAM",2:25:07,2:25:00,"3,26",M-M35
182,592,"MAHIEUX, HUGO",2:25:09,2:25:03,"3,26",M-SENIOR
183,1195,"SOLLA, CLAUDIO",2:25:14,2:25:14,"3,27",M-M40
184,475,"HENNION, ALEXANDRE",2:25:16,2:25:11,"3,27",M-SENIOR
185,1226,"MISTELBAUER, MARTIN",2:25:19,2:25:15,"3,27",M-M40
186,1460,"ALSINA CASAS, JORDI",2:25:26,2:25:24,"3,27",M-M40
187,729,"CONTENTE, LUÍS",2:25:31,2:25:23,"3,27",M-SENIOR
188,4343,"BLANC, SWAN",2:25:32,2:25:23,"3,27",M-SENIOR
189,963,"RENAUDIE, JEAN-BAPTISTE",2:25:34,2:25:25,"3,27",M-M35
190,675,"BARBAT, GUILLAUME",2:25:47,2:25:38,"3,27",M-SENIOR
191,1209,"NIEVES, GUSTAVO",2:25:51,2:25:48,"3,27",M-M40
192,547,"LORENZO LOPEZ, MANUEL",2:25:51,2:25:48,"3,27",M-SENIOR
193,1026,"ROBINSON, PETE",2:25:53,2:25:41,"3,27",M-M35
194,22500,"STEPHANE, JOLIVET",2:25:55,2:25:41,"3,27",M-M40
195,648,"CHAUMOND, MICKAEL",2:25:56,2:25:44,"3,28",M-SENIOR
196,630,"BUENO GONZÁLEZ, ALBERTO",2:25:57,2:25:51,"3,28",M-SENIOR
197,914,"DUPIRE, GUILLAUME",2:25:58,2:25:55,"3,28",M-M35
198,978,"CARMONA PARADA, FRANCESC",2:25:58,2:25:54,"3,28",M-M35
199,1101,"TATAY ALAPONT, JOSEP",2:25:59,2:25:50,"3,28",M-M40
200,821,"BRIZ RUIZ, ADRIAN",2:26:02,2:25:45,"3,28",M-M35
201,172,"SPENCER, STUART PETER",2:26:04,2:26:01,"3,28",M-M40
202,12186,"LUNDEGÅRD, ANDREAS",2:26:04,2:25:55,"3,28",M-M35
203,1041,"NIETO PEÑA, CARLOS",2:26:06,2:26:02,"3,28",M-M35
204,758,"GOMEZ GUTIERREZ, ANDONI",2:26:08,2:26:02,"3,28",M-SENIOR
205,809,"MOEN FJELD, OEYVIND",2:26:08,2:26:04,"3,28",M-SENIOR
206,952,"NUMMELA, AKI",2:26:09,2:26:02,"3,28",M-M35
207,224,"VAN ZYL, YVETTE",2:26:11,2:26:11,"3,28",F-W35
208,581,"PRIGENT, FABIEN",2:26:11,2:25:56,"3,28",M-SENIOR
209,562,"BRUGALIERES, JORDAN",2:26:13,2:26:09,"3,28",M-SENIOR
210,222,"GALIMANY GUASCH, MARTA",2:26:14,2:26:14,"3,28",F-W35
211,277,"COCKRAM, NATASHA",2:26:14,2:26:14,"3,28",F-SENIOR
212,220,"WIKSTRÖM, CAROLINA",2:26:14,2:26:14,"3,28",F-SENIOR
213,1291,"ÖHMAN, MARTIN",2:26:14,2:26:11,"3,28",M-M40
214,864,"CHARPENTIER, JEREMIE",2:26:17,2:26:12,"3,28",M-M35
215,293,"ROCA, ROGER",2:26:18,2:26:18,"3,28",M-SENIOR
216,997,"OLSZEWSKI, BARTOSZ",2:26:19,2:26:04,"3,28",M-M35
217,1498,"ABECIA LÓPEZ DE OCÁRIZ, BORJA",2:26:20,2:26:17,"3,28",M-M45
218,1128,"MASON, CHRIS",2:26:21,2:26:04,"3,28",M-M35
219,1097,"TELLO FERNANDEZ, VICTOR",2:26:23,2:26:17,"3,28",M-M35
220,816,"RUBIO SEGARRA, IÑAKI",2:26:24,2:26:16,"3,28",M-M35
221,970,"PASCUAL ALCALDE, DIEGO",2:26:25,2:26:21,"3,28",M-M35
222,1360,"NOZYNSKI, DARIUSZ",2:26:25,2:26:13,"3,28",M-M40
223,218,"TEJEDA, GLADYS",2:26:26,2:26:26,"3,28",F-SENIOR
224,985,"MARTIN, KEVIN",2:26:26,2:26:20,"3,28",M-M35
225,227,"SCHWIENING, GEORGINA",2:26:28,2:26:28,"3,28",F-SENIOR
226,921,"SOUZA, FERNANDO",2:26:31,2:26:25,"3,28",M-M35
227,669,"LOPES, PEDRO",2:26:37,2:26:33,"3,28",M-SENIOR
228,788,"BRINGAS VARONA, DIEGO",2:26:39,2:26:23,"3,29",M-SENIOR
229,407,"SADLER, HUGH",2:26:42,2:26:34,"3,29",M-SENIOR
230,198,"PALOMERA SVENSON, SAMUEL",2:26:46,2:26:44,"3,29",M-SENIOR
231,779,"MENDOZA BARBA, ALFONSO",2:26:46,2:26:37,"3,29",M-SENIOR
232,1073,"MILLÁN ALONSO, RAÚL",2:26:47,2:26:35,"3,29",M-M35
233,634,"ALONSO DURÓ, LUCAS",2:26:47,2:26:41,"3,29",M-SENIOR
234,933,"ROMEO RUIZ, PABLO",2:26:48,2:26:42,"3,29",M-M35
235,577,"DEWAR, BRANDON",2:26:48,2:26:38,"3,29",M-SENIOR
236,499,"SANCHEZ GARLITO, AITOR",2:26:48,2:26:31,"3,29",M-SENIOR
237,1148,"BENGHERDA, HICHAM",2:26:52,2:26:50,"3,29",M-M35
238,32,"CASTILLEJO SALVADOR, CARLES",2:26:55,2:26:51,"3,29",M-M40
239,1091,"NUNO, TIAGO",2:26:55,2:26:51,"3,29",M-M35
240,1526,"MARQUEZ SANCHEZ, SALVA",2:26:56,2:26:53,"3,29",M-M45
241,1123,"PONCE PEREZ, JESUS",2:26:59,2:26:53,"3,29",M-M35
242,439,"ROCA DIAZ, ANTONIO",2:27:00,2:26:53,"3,29",M-SENIOR
243,295,"URETA MEDRANO, WALDIR",2:27:00,2:27:00,"3,29",M-SENIOR
244,817,"FASOLO, FLORIAN",2:27:02,2:26:47,"3,29",M-M35
245,892,"POTTIER, XAVIER",2:27:04,2:26:52,"3,29",M-M35
246,1366,"CAPLLIURE PIERA, JOSE MANUEL",2:27:04,2:26:59,"3,29",M-M40
247,1521,"FRANCO GARCIA, ALBERTO",2:27:07,2:27:01,"3,29",M-M45
248,1398,"PAREDES GONZÁLEZ, JAVIER",2:27:07,2:27:02,"3,29",M-M40
249,1139,"PRADO MARTIN DE LA SIERRA, ISRAEL",2:27:09,2:26:58,"3,29",M-M35
250,936,"DREUX, JULIEN",2:27:16,2:27:01,"3,29",M-M35
251,1778,"MORETA, SIXTO",2:27:17,2:27:17,"3,29",M-SENIOR
252,15446,"MONTES DE OCA, GERSON",2:27:17,2:27:18,"3,29",M-SENIOR
253,456,"MARTIN, ALEXIS",2:27:19,2:27:09,"3,29",M-SENIOR
254,845,"HATEFNEJAD, TONY",2:27:20,2:27:12,"3,30",M-M35
255,2536,"LEGER, TRISTAN",2:27:28,2:27:23,"3,30",M-SENIOR
256,831,"RANNANKARI, MARKUS",2:27:31,2:27:28,"3,30",M-M35
257,723,"WILSON, AARON",2:27:32,2:27:24,"3,30",M-SENIOR
258,181,"BARDISA GOMIS, JORGE",2:27:32,2:27:30,"3,30",M-M40
259,1624,"MOHAMMED, EL YAMANI",2:27:33,2:27:28,"3,30",M-M55
260,725,"MURAS, PETR",2:27:34,2:27:22,"3,30",M-SENIOR
261,1249,"NORFELT, CHRISTIAN",2:27:43,2:27:35,"3,30",M-M40
262,564,"BLONDEEL, KOBE",2:27:46,2:27:36,"3,30",M-SENIOR
263,1365,"ZAMORA FERNÁNDEZ, JUAN ANTONIO",2:27:47,2:27:38,"3,30",M-M40
264,523,"GILLIVER, SAM",2:27:48,2:27:34,"3,30",M-SENIOR
265,430,"CALDERAY MORA, LUIS CARLOS",2:27:50,2:27:43,"3,30",M-SENIOR
266,115,"HAUKENES, HÅVARD",2:27:50,2:27:46,"3,30",M-SENIOR
267,629,"TIM, VAN HAMME",2:27:50,2:27:33,"3,30",M-SENIOR
268,1218,"IMPEY, NICK",2:27:53,2:27:37,"3,30",M-M40
269,433,"GALLET, ALEXANDRE",2:27:53,2:27:47,"3,30",M-SENIOR
270,183,"MARTINEZ GIL, JACOBO",2:27:54,2:27:52,"3,30",M-M40
271,1484,"MCLEOD LEGGO, ANDREW",2:27:54,2:27:34,"3,30",M-M45
272,489,"ORMANCEY, MATHIEU",2:27:56,2:27:35,"3,30",M-SENIOR
273,1488,"HAMON, FRÉDÉRIC",2:27:56,2:27:43,"3,30",M-M45
274,950,"DAVY, STIEPERAERE",2:27:56,2:27:51,"3,30",M-M35
275,1329,"CARRASCAL MORALES, JUAN",2:27:58,2:27:46,"3,30",M-M40
276,546,"HOLMSTRÖM, OSCAR",2:27:58,2:27:47,"3,30",M-SENIOR
277,797,"STROLLO, SERGIO",2:28:01,2:27:57,"3,30",M-SENIOR
278,854,"MILLETT, SIMON",2:28:03,2:27:54,"3,31",M-M35
279,972,"JULIEN, LEMERIEL",2:28:04,2:27:47,"3,31",M-M35
280,545,"RIOU, NICOLAS",2:28:04,2:27:52,"3,31",M-SENIOR
281,420,"TURCO, NICHOLAS",2:28:06,2:27:50,"3,31",M-SENIOR
282,2148,"AVALLE, STEFANO",2:28:07,2:28:07,"3,31",M-SENIOR
283,37,"BRZEZINSKI, BLAZEJ",2:28:09,2:28:07,"3,31",M-M35
284,1178,"RAMÓN LOPO, JUAN LUIS",2:28:09,2:28:05,"3,31",M-M40
285,229,"BRZEZINSKA, ALEKSANDRA",2:28:09,2:28:09,"3,31",F-SENIOR
286,676,"OLE, SROCKE",2:28:11,2:28:04,"3,31",M-SENIOR
287,516,"BERGER, ERLEND",2:28:13,2:28:08,"3,31",M-SENIOR
288,672,"CABRERA PEREZ, PEDRO ANTONIO",2:28:17,2:28:11,"3,31",M-SENIOR
289,185,"MAS ASENCIO, MANUEL",2:28:19,2:28:16,"3,31",M-M40
290,1037,"DELECROIX, BENJAMIN",2:28:20,2:28:12,"3,31",M-M35
291,735,"ECHAMENDI VILLANUEVA, MIKEL",2:28:21,2:28:09,"3,31",M-SENIOR
292,932,"LAZKANO LETAMENDI, ANDER",2:28:24,2:28:18,"3,31",M-M35
293,744,"MACIA GARCIA, FRANCISCO VICENTE",2:28:25,2:28:18,"3,31",M-SENIOR
294,1397,"PERLO, LORENZO",2:28:25,2:28:10,"3,31",M-M40
295,876,"HELIER, CLÉMENT",2:28:26,2:28:21,"3,31",M-M35
296,1395,"SKOOG, HENRIK",2:28:27,2:28:24,"3,31",M-M40
297,909,"BORREDÁ LLACER, CARLOS",2:28:27,2:28:21,"3,31",M-M35
298,3137,"TORSVIK, ANDREAS",2:28:28,2:28:17,"3,31",M-SENIOR
299,699,"VILOVAR, BELODIE",2:28:29,2:28:17,"3,31",M-SENIOR
300,1399,"SHARP, MATTHEW",2:28:30,2:28:11,"3,31",M-M40
301,1454,"ALCON GINER, EDUARDO",2:28:32,2:28:19,"3,31",M-M40
302,749,"DUNCAN, BEN",2:28:32,2:28:25,"3,31",M-SENIOR
303,28474,"AYACHI, AYMEN",2:28:43,2:28:40,"3,31",M-SENIOR
304,2769,"TOUZÉ, VINCENT",2:28:47,2:28:29,"3,32",M-SENIOR
305,446,"PEREZ GIL, SAMUEL",2:28:48,2:28:44,"3,32",M-SENIOR
306,713,"DI CEGLIE, DANIELE",2:28:49,2:28:36,"3,32",M-SENIOR
307,1561,"FERNANDEZ JUNQUERA, FERNANDO",2:28:51,2:28:32,"3,32",M-M45
308,718,"ROUX, GEORGE",2:28:51,2:28:43,"3,32",M-SENIOR
309,1880,"BENAMAR, MOHAMED",2:28:52,2:28:50,"3,32",M-M40
310,551,"MEULENGRACHT, CHRISTOPHER",2:28:52,2:28:44,"3,32",M-SENIOR
311,1549,"GRONOSTAJ, GRZEGORZ",2:28:54,2:28:48,"3,32",M-M45
312,191,"TORMO GARCIA, ISIDRO SALVADOR",2:28:55,2:28:52,"3,32",M-M40
313,910,"RAUHUT, SAMUEL",2:28:56,2:28:46,"3,32",M-M35
314,636,"VOISIN, VINCENT",2:28:56,2:28:51,"3,32",M-SENIOR
315,982,"AMIEVA REMIS, JAVIER",2:28:57,2:28:49,"3,32",M-M35
316,1136,"CERA IZQUIERDO, CARLOS",2:28:57,2:28:52,"3,32",M-M35
